client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
31d5d6d761a46c65e93e639bda3a40295c1c017bf8d281b63f802f1afe24ecec33de85328cd7c05d8ef400954e69639572ac92f905b879b69c981f9e491b979b	common_voice_en_9555.mp3	There was a full moon, and the boy told the Englishman the story of his life.	10	0					en	
39e16cf7f602bfd46da74c2a1b55d805fbdf9659f694fe4e6d912d9fbdaff590720ab48bf96cdbeaad329084ad85cfc02cfece5889c7df37c7f3f7bb70d53a5d	common_voice_en_17051.mp3	So the boy was disappointed; he decided that he would never again believe in dreams.	9	0					en	
3fd457483dbf26ec3d968e1e0caa456850443637fc67721c6e3e3d3a4e3e28842798955460fdacfd1ba7982bda1f07e383c98166f71cdbf81a12a047aeb7923d	common_voice_en_26827.mp3	It's extremely suspicious that there's no information about brains that didn't come from a brain.	23	0					en	
4aa132ccca9f3a8ac993e85b1e9bea864b6a161c1463985b5fe42b579ec0fedb18737c81d3913dd69b3986e7bb20cd17151f65fc2bacdeca9a89ac4f30b3633a	common_voice_en_37595244.mp3	Her career changed dramatically when she married John Morris, who became her manager.	16	0			just like us accent,United States English,Australian English,England English,Canadian English,Filipino,Hong Kong English,India and South Asia (India, Pakistan, Sri Lanka),Malaysian English,Singaporean English,Welsh English,West Indies and Bermuda (Bahamas, Bermuda, Jamaica, Trinidad),South Atlantic (Falkland Islands, Saint Helena),New Zealand English,Irish English,Scottish English		en	
586615ff38d629f7f835197620e76be022a8baad28536d713457d3314ae5e066e231c89e2b796d86738f9123ab2af1335cf9f4f1ab018861168ca3a238a93fd9	common_voice_en_1757.mp3	He was sure the girl would never understand.	28	2					en	
7769374577446444b91e9e226963a12b27250652ce30509322c92f783f4d3e49bcb4ae71729c20ad6137f99097e5bc59613dae9483d88212ae4b1fa005f58ba0	common_voice_en_10438.mp3	The Englishman was disappointed.	10	1					en	
b13b71faf0bfc077b3b43b4092d26c248a494da287c713517624e2521b7597f0db0aa1e9b17f81a6acd0b05d1bbddf9b28d29b83e1aece8c420106bb836e3fe1	common_voice_en_82090.mp3	I thought about the difficulties in translation that might arise.	9	0					en	
be0341776c2ef8b33cb2df95a2379156451018eb8d975b91f5fa26af4d505447ffe484b6a261af391e2b4aa4254233c37dbb4942a9aa05f4bc15f0e781e03975	common_voice_en_25498.mp3	It would have been visible to me, had I only looked up as it passed.	7	0					en	
c4268813bed3782ed473d3fa96d9738b12ba75cea4a2d8e586b9fc3c754574c8d323d6a49b76fe449a50ebbd70f1dc33b295b90e1e86d373a72d821866b02f5c	common_voice_en_1043.mp3	The other son was a poet, and delighted all of Rome with his beautiful verses.	33	2					en	
c73325dd211564e79463359526d0229a178f8e0a0f9717447856675023511535cf059ecd5855eeb7d310310e833b04a3c1855bb0b86b1e58c296268830fe11e8	common_voice_en_49515.mp3	My wife pointed out to me the brightness of the red, green, and yellow signal lights.	9	0					en	
